Advice,SetGoals,PayFullCC,Own,agecat,region,ABSORBSHOCK
Well,Neither,Seldom,Neutral,55to61,W,Probably
Little,Disagree,NAorNever,Agree,35to44,NE,CouldNot
Somewhat,Agree,Sometimes,Neutral,25to34,W,Certain
Not,Disagree,NAorNever,Neutral,25to34,W,ProbablyNot
Somewhat,Disagree,Always,Neutral,75up,MW,Certain
Well,Agree,Always,Agree,70to74,NE,Certain
Well,Neither,Always,Agree,25to34,South,Probably
Somewhat,Agree,Often,Agree,25to34,MW,Certain
Well,Neither,NAorNever,Agree,45to54,NE,Certain
Completely,StronglyAgree,Always,Agree,75up,South,Certain
Not,Disagree,NAorNever,Agree,45to54,NE,Certain
Somewhat,Neither,Always,Disagree,55to61,MW,Certain
Well,Agree,Sometimes,Neutral,45to54,South,Certain
Somewhat,Neither,Always,Neutral,70to74,South,Certain
Somewhat,Agree,Always,Agree,35to44,W,Certain
Somewhat,Disagree,Seldom,Agree,35to44,NE,CouldNot
Completely,Agree,Always,Absolutely,75up,MW,Certain
Completely,StronglyAgree,Often,Neutral,35to44,South,Certain
Completely,StronglyAgree,Always,Agree,75up,South,Certain
Well,Agree,Seldom,Neutral,62to69,MW,Certain
Somewhat,Neither,NAorNever,Agree,70to74,MW,Certain
Little,Agree,Seldom,Agree,25to34,South,CouldNot
Well,StronglyAgree,Always,Neutral,55to61,MW,Certain
Somewhat,Disagree,NAorNever,Agree,25to34,NE,Certain
Completely,StronglyAgree,Always,Disagree,25to34,South,Certain
Somewhat,StronglyAgree,NAorNever,Neutral,18to24,MW,CouldNot
Little,Agree,Always,Agree,75up,NE,Certain
Somewhat,Agree,Often,Agree,25to34,NE,Certain
Somewhat,Neither,Always,Agree,35to44,MW,Certain
Well,Agree,Seldom,Agree,25to34,MW,Probably
Not,Disagree,Seldom,Agree,45to54,MW,CouldNot
Somewhat,Agree,Seldom,Neutral,70to74,NE,Certain
Well,Neither,NAorNever,Disagree,75up,NE,Certain
Somewhat,Agree,NAorNever,Neutral,45to54,South,Certain
Somewhat,Agree,Sometimes,Disagree,45to54,NE,Probably
Well,Agree,Always,Neutral,62to69,MW,Certain
Somewhat,Neither,Seldom,Neutral,45to54,NE,Probably
Little,Agree,Often,Agree,25to34,W,Certain
Well,Agree,Always,Disagree,45to54,NE,Probably
Somewhat,Agree,Sometimes,Neutral,62to69,NE,Probably
Completely,Neither,NAorNever,Disagree,18to24,South,ProbablyNot
Not,Neither,Seldom,Neutral,25to34,W,CouldNot
Somewhat,Neither,NAorNever,Neutral,25to34,South,Probably
Well,Agree,Always,NoWay,55to61,MW,Certain
Somewhat,Disagree,Often,Neutral,18to24,South,Certain
Well,Neither,NAorNever,Agree,25to34,MW,Probably
Little,Agree,NAorNever,Agree,25to34,W,CouldNot
Somewhat,Neither,Always,Agree,18to24,South,ProbablyNot
Somewhat,Neither,Always,Neutral,35to44,South,Certain
Well,Agree,Sometimes,Neutral,25to34,W,Certain
Completely,StronglyAgree,Always,Agree,55to61,NE,Certain
Well,Agree,Always,Disagree,75up,W,Probably
Well,Neither,Always,Neutral,75up,South,Certain
Somewhat,Agree,Often,Agree,25to34,NE,Probably
Somewhat,Agree,NAorNever,Neutral,25to34,MW,CouldNot
Well,StronglyAgree,Sometimes,Disagree,35to44,South,Certain
Completely,Agree,Often,NoWay,70to74,South,Certain
Well,Agree,Always,Neutral,25to34,MW,Certain
Not,Neither,Sometimes,Disagree,35to44,NE,Probably
Well,Agree,Sometimes,Neutral,25to34,NE,Certain
Somewhat,Neither,NAorNever,Neutral,35to44,W,Certain
Somewhat,Agree,Always,Neutral,75up,South,Certain
Well,Neither,Sometimes,Neutral,55to61,MW,ProbablyNot
Little,Agree,Often,Agree,55to61,South,Probably
Well,Disagree,Always,Neutral,35to44,South,Certain
Little,Agree,Seldom,Disagree,25to34,South,ProbablyNot
Well,Agree,Seldom,Neutral,35to44,MW,Certain
Completely,Neither,Always,Agree,62to69,South,Certain
Little,Neither,NAorNever,Neutral,25to34,South,ProbablyNot
Somewhat,Agree,Often,Agree,25to34,South,Probably
Well,Agree,Always,Neutral,70to74,MW,Certain
Somewhat,Agree,Always,NoWay,45to54,NE,Certain
Somewhat,Agree,NAorNever,Agree,62to69,W,Certain
Somewhat,Agree,NAorNever,Agree,62to69,MW,ProbablyNot
Somewhat,Agree,Always,Agree,45to54,NE,Probably
Completely,StronglyAgree,Always,Disagree,70to74,W,Probably
Somewhat,Agree,Seldom,NoWay,25to34,South,Probably
Completely,Agree,Always,NA,55to61,South,Certain
Well,Agree,Sometimes,Disagree,70to74,South,Certain
Well,Agree,Often,Disagree,18to24,MW,Certain
Well,Agree,NAorNever,NoWay,18to24,W,DontKnow
Somewhat,Agree,NAorNever,NoWay,35to44,South,Certain
Well,Agree,Always,Agree,75up,South,Certain
Not,Neither,NAorNever,Disagree,45to54,MW,CouldNot
Somewhat,Agree,Sometimes,Neutral,35to44,South,Certain
Somewhat,Neither,NAorNever,Agree,35to44,W,Certain
Somewhat,Agree,Sometimes,Agree,18to24,South,Certain
Well,Agree,Always,Neutral,25to34,South,Probably
Well,Neither,Always,Agree,70to74,NE,Certain
Well,Agree,Always,Agree,75up,W,Certain
Completely,Agree,Always,Neutral,35to44,South,Certain
Well,Agree,NAorNever,Disagree,25to34,South,Certain
Somewhat,Neither,Seldom,Agree,55to61,MW,Certain
Little,Neither,Sometimes,Neutral,45to54,W,CouldNot
Completely,Agree,Always,Neutral,70to74,South,Certain
Well,Agree,Sometimes,Agree,45to54,MW,Certain
Somewhat,Agree,Often,Neutral,35to44,W,Certain
Little,StronglyDisagree,Seldom,Agree,45to54,W,Certain
Well,Agree,Sometimes,Neutral,70to74,MW,Certain
Well,Agree,Sometimes,Neutral,25to34,W,Certain
Not,Agree,NAorNever,Neutral,35to44,NE,Probably
Well,Agree,Sometimes,NoWay,62to69,MW,Certain
Little,Disagree,NAorNever,Disagree,35to44,MW,Certain
Somewhat,Agree,NAorNever,Agree,25to34,MW,Certain
Completely,Agree,Always,Absolutely,45to54,W,DontKnow
Completely,Agree,Always,Disagree,35to44,MW,Certain
Well,Agree,Sometimes,Agree,55to61,W,Probably
Somewhat,Agree,Seldom,Agree,62to69,South,Certain
Well,Agree,Always,Disagree,55to61,MW,Certain
Somewhat,Agree,Often,Neutral,25to34,South,Probably
Completely,Disagree,Always,Neutral,18to24,South,Certain
Well,Neither,Seldom,Disagree,55to61,MW,Probably
Little,Disagree,Seldom,Neutral,62to69,MW,CouldNot
Somewhat,Neither,Seldom,Neutral,45to54,MW,Certain
Completely,StronglyAgree,Always,Neutral,18to24,MW,Certain
Completely,StronglyAgree,Always,Absolutely,45to54,South,Certain
NA,NA,NA,NA,18to24,W,DontKnow
Well,Agree,Always,NoWay,18to24,W,Probably
Completely,StronglyAgree,Always,Agree,55to61,MW,Certain
Well,Agree,Often,Agree,45to54,W,Certain
Little,Agree,Always,Disagree,75up,South,Certain
Somewhat,Agree,Sometimes,Agree,45to54,W,Certain
Completely,Agree,Often,Neutral,25to34,W,Certain
Somewhat,StronglyAgree,Always,Neutral,25to34,South,Certain
Somewhat,Neither,NAorNever,Neutral,45to54,MW,ProbablyNot
Somewhat,Neither,Seldom,Neutral,45to54,W,CouldNot
Not,Neither,Often,Neutral,45to54,W,Probably
Somewhat,Agree,Sometimes,Agree,25to34,South,DontKnow
Well,Disagree,NAorNever,Absolutely,35to44,South,Certain
Somewhat,Neither,Sometimes,Disagree,25to34,MW,DontKnow
Somewhat,Agree,Seldom,Neutral,55to61,South,ProbablyNot
Somewhat,Neither,Always,Agree,35to44,W,Certain
Completely,StronglyAgree,Often,NoWay,62to69,NE,Certain
Completely,StronglyAgree,Often,Agree,55to61,South,Probably
Somewhat,Neither,Always,Neutral,45to54,MW,Certain
Well,Neither,Seldom,Neutral,45to54,W,CouldNot
Somewhat,Agree,Always,Disagree,45to54,NE,Certain
Somewhat,Agree,Seldom,Disagree,45to54,NE,Certain
Somewhat,Agree,Always,NA,75up,MW,Certain
Completely,Agree,Always,Neutral,55to61,South,Certain
Somewhat,Agree,Seldom,Neutral,45to54,MW,Certain
Well,Neither,Always,Agree,35to44,NE,Certain
Well,Agree,Sometimes,Disagree,25to34,MW,Certain
Well,Agree,Always,Disagree,35to44,MW,Certain
Well,Neither,Sometimes,Neutral,62to69,South,Certain
Well,Neither,NAorNever,Agree,75up,MW,Probably
Well,StronglyDisagree,NAorNever,NoWay,35to44,MW,CouldNot
Well,Agree,Always,Agree,25to34,W,Certain
Well,Agree,Sometimes,Neutral,35to44,W,Probably
Completely,Agree,Always,Neutral,25to34,South,Certain
Somewhat,Disagree,Seldom,Neutral,45to54,W,Certain
Somewhat,Agree,Sometimes,Neutral,45to54,W,CouldNot
Completely,Agree,Always,Disagree,70to74,South,Certain
Well,StronglyAgree,Always,Neutral,45to54,MW,Certain
Somewhat,Disagree,Always,Disagree,25to34,W,Certain
Somewhat,Agree,Sometimes,Disagree,62to69,South,Certain
Little,StronglyAgree,Always,NoWay,35to44,South,CouldNot
Well,Agree,Often,Neutral,35to44,South,Certain
Somewhat,Agree,Always,Absolutely,25to34,MW,Certain
Little,Neither,Always,Neutral,45to54,NE,CouldNot
Well,StronglyAgree,Always,Agree,75up,NE,Certain
Well,Neither,Always,Neutral,75up,South,Certain
Well,Neither,Sometimes,Agree,55to61,South,Probably
Completely,Agree,Always,Agree,62to69,W,Certain
Well,Agree,Always,Neutral,35to44,South,DontKnow
Completely,Neither,Always,Disagree,35to44,W,ProbablyNot
Completely,StronglyAgree,Always,Agree,25to34,W,Certain
Little,Disagree,NAorNever,NoWay,55to61,W,CouldNot
Well,StronglyAgree,NAorNever,Agree,55to61,MW,CouldNot
Well,StronglyAgree,Often,Neutral,25to34,South,DontKnow
Somewhat,Neither,NAorNever,Neutral,70to74,South,DontKnow
Well,Agree,Always,Neutral,25to34,W,Certain
Somewhat,Agree,Sometimes,Absolutely,35to44,NE,Probably
Well,Agree,Always,Neutral,62to69,MW,Certain
Somewhat,Disagree,NAorNever,Disagree,62to69,South,CouldNot
Little,Neither,NAorNever,Neutral,55to61,MW,Probably
Completely,StronglyAgree,Always,Agree,70to74,W,Certain
Somewhat,Agree,Often,Neutral,25to34,NE,Certain
Well,StronglyAgree,NAorNever,NoWay,55to61,W,CouldNot
Well,Agree,Always,Neutral,35to44,W,Certain
Well,Agree,Always,Agree,70to74,South,Certain
Somewhat,Disagree,NAorNever,Agree,62to69,South,ProbablyNot
Well,Agree,Often,Agree,75up,W,Certain
Not,Agree,Sometimes,Disagree,45to54,MW,CouldNot
Little,Agree,Always,Neutral,75up,South,Certain
Well,Neither,Always,Neutral,62to69,W,Certain
Well,Agree,Always,Neutral,45to54,South,Certain
Little,Agree,Often,NoWay,35to44,MW,Probably
Little,Agree,Always,Neutral,35to44,NE,Probably
Somewhat,Neither,Always,Neutral,25to34,NE,Certain
Well,Agree,Always,Neutral,35to44,South,Certain
Well,Neither,Always,Agree,35to44,South,Certain
Completely,StronglyAgree,Always,Absolutely,75up,NE,Certain
Little,Agree,Often,Neutral,62to69,South,Certain
Completely,Disagree,Always,Agree,45to54,South,Certain
Somewhat,Neither,Always,Agree,45to54,NE,Certain
Completely,Agree,Always,Agree,45to54,W,Certain
Well,Agree,Always,Disagree,62to69,W,Certain
Well,Agree,Often,Agree,35to44,MW,Certain
Somewhat,Agree,Sometimes,Neutral,25to34,South,CouldNot
Somewhat,Neither,Sometimes,Agree,35to44,South,ProbablyNot
Well,StronglyAgree,Always,Neutral,55to61,W,Certain
Somewhat,Agree,Seldom,Agree,45to54,W,Certain
Little,Neither,Seldom,Neutral,35to44,NE,CouldNot
Well,Agree,Always,Neutral,55to61,NE,Certain
Well,Agree,NAorNever,Neutral,25to34,South,Certain
Well,Agree,Always,Disagree,25to34,MW,Certain
Well,Agree,Always,Neutral,45to54,NE,Certain
Well,Agree,Always,Neutral,25to34,MW,Certain
Completely,StronglyAgree,Sometimes,Disagree,25to34,MW,Probably
Completely,StronglyAgree,Always,Neutral,55to61,NE,Certain
Somewhat,Agree,NAorNever,Neutral,45to54,NE,ProbablyNot
Somewhat,Agree,Seldom,Neutral,25to34,South,Probably
Completely,Agree,Always,Agree,70to74,South,Certain
Little,Neither,Often,Neutral,62to69,South,Probably
Somewhat,Neither,Seldom,Agree,25to34,South,Certain
Somewhat,Agree,Often,Agree,70to74,South,Certain
Well,StronglyAgree,Always,Neutral,45to54,NE,Certain
Well,Agree,Often,Neutral,62to69,W,Certain
Well,Agree,Always,Neutral,45to54,NE,Probably
Well,Agree,Always,NoWay,18to24,W,CouldNot
Completely,StronglyAgree,Always,Neutral,45to54,W,Certain
Well,Disagree,Always,Neutral,62to69,W,Probably
Well,StronglyAgree,Always,Neutral,25to34,MW,Certain
Well,Agree,Sometimes,Disagree,55to61,MW,Probably
Completely,Neither,Often,Agree,25to34,W,Certain
Well,Neither,Always,Agree,18to24,MW,Certain
Little,Neither,NAorNever,Disagree,35to44,South,Probably
Somewhat,Agree,NAorNever,Neutral,62to69,South,CouldNot
Completely,StronglyAgree,Always,NA,18to24,South,Certain
Little,Agree,Sometimes,Disagree,45to54,South,Probably
Completely,StronglyAgree,Always,Agree,45to54,NE,Certain
Little,StronglyDisagree,NAorNever,Agree,25to34,South,CouldNot
Somewhat,Agree,NAorNever,Agree,18to24,MW,DontKnow
Somewhat,Agree,Always,Neutral,55to61,MW,Certain
Well,StronglyAgree,Always,Agree,25to34,MW,Certain
Well,Neither,Always,Neutral,70to74,South,Certain
Somewhat,Agree,Always,Agree,18to24,W,ProbablyNot
Not,Disagree,Always,Neutral,45to54,NE,ProbablyNot
Completely,Agree,Always,Agree,35to44,South,Certain
Somewhat,Neither,Seldom,Neutral,35to44,NE,Certain
Somewhat,Neither,Sometimes,Neutral,18to24,NE,DontKnow
Completely,StronglyAgree,Always,Neutral,35to44,MW,CouldNot
Completely,Agree,Always,Neutral,55to61,W,Certain
Completely,Agree,Seldom,Disagree,35to44,NE,Certain
Well,Disagree,Always,NoWay,35to44,NE,Certain
Well,Agree,Sometimes,Agree,45to54,W,Probably
Well,Disagree,Seldom,NoWay,25to34,MW,Probably
Well,Agree,Always,Neutral,25to34,W,Certain
Somewhat,Neither,Sometimes,Neutral,35to44,W,Probably
Completely,Agree,Always,Absolutely,62to69,MW,Certain
Somewhat,Agree,Always,Disagree,45to54,MW,ProbablyNot
Not,Neither,Seldom,Disagree,62to69,South,Probably
Completely,StronglyAgree,Always,Disagree,25to34,W,Probably
Little,Agree,Always,Neutral,55to61,South,Certain
Well,Disagree,Sometimes,Disagree,55to61,MW,Certain
Somewhat,Agree,Sometimes,Neutral,25to34,South,ProbablyNot
Little,Agree,Seldom,NA,25to34,W,Certain
Somewhat,Agree,Always,Disagree,62to69,NE,Certain
Completely,Agree,Always,Agree,18to24,W,Certain
Well,Agree,Often,Agree,25to34,South,Probably
Well,Agree,Always,Agree,18to24,MW,Certain
Not,Neither,NAorNever,Agree,70to74,South,CouldNot
Somewhat,Agree,Sometimes,Disagree,45to54,South,Certain
Completely,StronglyAgree,Always,Absolutely,25to34,NE,ProbablyNot
Little,Agree,Sometimes,Neutral,45to54,South,ProbablyNot
Well,Neither,Sometimes,Neutral,35to44,W,DontKnow
Well,Agree,Always,Neutral,55to61,MW,Certain
Well,Neither,Often,Neutral,35to44,W,Certain
Well,Agree,Always,Neutral,62to69,NE,Certain
Somewhat,Neither,Often,Disagree,62to69,South,Certain
Well,StronglyAgree,Always,Disagree,45to54,NE,Certain
Little,Disagree,NAorNever,Agree,45to54,NE,CouldNot
Little,Agree,NAorNever,Neutral,70to74,NE,ProbablyNot
Somewhat,Neither,Always,Neutral,75up,NE,Certain
Completely,Agree,Always,Neutral,35to44,South,Certain
Completely,Agree,Often,Agree,25to34,NE,Certain
Well,Neither,Always,Agree,75up,NE,Certain
Well,Agree,NAorNever,Neutral,45to54,NE,CouldNot
Well,Neither,Often,Neutral,25to34,NE,ProbablyNot
Somewhat,Agree,Always,Neutral,62to69,NE,Certain
Somewhat,Neither,Seldom,Agree,45to54,South,DontKnow
Somewhat,Neither,Always,Neutral,18to24,W,DontKnow
Well,StronglyAgree,Sometimes,Absolutely,18to24,South,CouldNot
Little,Agree,Always,NA,55to61,South,Probably
Not,Neither,Seldom,Absolutely,25to34,MW,CouldNot
Not,StronglyAgree,Sometimes,Disagree,25to34,South,Probably
Well,Agree,Seldom,Neutral,62to69,W,Certain
Well,Neither,Often,Neutral,18to24,NE,Certain
Somewhat,Agree,NAorNever,Neutral,35to44,South,Probably
Completely,StronglyAgree,Always,Disagree,62to69,South,Certain
Somewhat,Neither,Seldom,NoWay,35to44,NE,CouldNot
Completely,StronglyAgree,Always,NoWay,35to44,W,CouldNot
Well,Neither,Always,Agree,25to34,MW,Certain
Somewhat,Disagree,NAorNever,NoWay,45to54,South,Certain
Well,Neither,NAorNever,Disagree,18to24,South,DontKnow
Well,Agree,Always,Agree,35to44,NE,Certain
Well,StronglyAgree,Always,Disagree,25to34,NE,Certain
Well,Agree,Always,Neutral,35to44,NE,Probably
Completely,StronglyAgree,Always,Agree,62to69,South,Certain
Not,Neither,NAorNever,Neutral,25to34,South,CouldNot
Well,Neither,Always,Neutral,35to44,South,Probably
Somewhat,Agree,Seldom,Absolutely,25to34,MW,CouldNot
Completely,StronglyAgree,Always,Disagree,35to44,NE,Certain
Somewhat,Neither,NAorNever,Disagree,25to34,South,CouldNot
Completely,Agree,Always,Neutral,45to54,South,Certain
Somewhat,StronglyAgree,Sometimes,Neutral,45to54,W,CouldNot
Well,Disagree,NAorNever,Disagree,55to61,W,Certain
Well,Agree,Seldom,Agree,45to54,NE,Certain
Well,Neither,Always,Neutral,75up,South,Probably
Completely,Agree,Sometimes,Disagree,70to74,South,Certain
Well,Neither,Always,Agree,45to54,South,Certain
Well,StronglyDisagree,Sometimes,Disagree,45to54,W,Certain
Well,Agree,Always,Neutral,62to69,South,ProbablyNot
Well,Agree,Always,Agree,45to54,South,Certain
Well,Agree,Always,Absolutely,62to69,South,Certain
Somewhat,Neither,Seldom,Disagree,45to54,South,Probably
Little,Neither,NAorNever,Agree,75up,W,CouldNot
Somewhat,Agree,NAorNever,Disagree,35to44,W,Probably
Somewhat,Neither,Sometimes,Neutral,35to44,MW,DontKnow
Somewhat,Agree,Seldom,Agree,35to44,NE,Certain
Little,Neither,NAorNever,Disagree,18to24,W,CouldNot
Well,StronglyAgree,Always,Neutral,25to34,NE,Certain
Well,Agree,NAorNever,Disagree,55to61,MW,Certain
Completely,Agree,Seldom,Agree,75up,NE,ProbablyNot
Somewhat,Neither,Sometimes,Neutral,18to24,NE,DontKnow
Little,Neither,Always,Agree,35to44,NE,Probably
Not,Neither,Seldom,Absolutely,35to44,MW,DontKnow
Well,StronglyDisagree,Always,Neutral,62to69,NE,Certain
Somewhat,Neither,Sometimes,Neutral,25to34,NE,CouldNot
Somewhat,Agree,NAorNever,Neutral,75up,W,Certain
Somewhat,Agree,Always,Agree,62to69,W,Certain
Completely,Neither,Always,Agree,45to54,NE,Certain
Well,Agree,Seldom,Neutral,45to54,W,Probably
Somewhat,Neither,NAorNever,Disagree,25to34,MW,CouldNot
Completely,Agree,Always,NoWay,62to69,MW,Certain
Completely,StronglyAgree,Always,Neutral,25to34,South,Probably
Well,Disagree,NAorNever,Neutral,18to24,MW,Certain
Completely,Agree,Always,Neutral,62to69,W,Certain
Well,Neither,Always,Neutral,75up,South,Certain
Well,Agree,NAorNever,Disagree,25to34,South,Certain
Somewhat,Agree,Always,Neutral,55to61,South,ProbablyNot
Somewhat,Disagree,NAorNever,Disagree,45to54,NE,Certain
Somewhat,Agree,Often,Neutral,62to69,South,Certain
Completely,Agree,Always,Agree,35to44,W,Probably
Completely,Agree,Always,Absolutely,62to69,MW,Certain
Well,Agree,Often,Agree,45to54,South,Certain
Somewhat,StronglyAgree,Always,Agree,25to34,South,CouldNot
Somewhat,StronglyAgree,Always,Agree,25to34,W,Certain
Somewhat,Neither,Seldom,Agree,35to44,MW,Certain
Somewhat,Agree,Always,Neutral,45to54,W,Certain
Completely,StronglyAgree,Often,Disagree,62to69,W,Certain
Completely,Agree,Always,Neutral,70to74,NE,Certain
Well,StronglyAgree,Often,Disagree,45to54,South,Certain
Somewhat,Neither,Always,Agree,75up,W,CouldNot
Well,Agree,Always,Disagree,70to74,South,Certain
Well,Agree,Always,Agree,45to54,South,ProbablyNot
Little,Agree,NAorNever,Agree,75up,NE,ProbablyNot
Somewhat,Agree,Always,NoWay,75up,NE,Certain
Somewhat,Neither,Sometimes,Neutral,18to24,W,ProbablyNot
Completely,Agree,Always,Neutral,35to44,W,Certain
Completely,StronglyAgree,Always,Absolutely,35to44,W,Certain
Well,StronglyAgree,Always,Neutral,25to34,W,Probably
Somewhat,Neither,Seldom,Neutral,55to61,MW,Probably
Somewhat,Agree,Often,NoWay,62to69,W,Probably
Completely,StronglyAgree,Always,Neutral,75up,South,Certain
Well,Agree,Often,Disagree,35to44,MW,Certain
Completely,Neither,Always,Neutral,75up,South,Certain
Somewhat,Disagree,NAorNever,Neutral,18to24,MW,CouldNot
Completely,Agree,Always,NoWay,70to74,MW,Certain
Well,Neither,Seldom,Agree,75up,South,Probably
Little,StronglyAgree,Often,Disagree,75up,MW,Certain
Somewhat,Disagree,NAorNever,NoWay,35to44,South,CouldNot
Completely,StronglyAgree,Always,Neutral,25to34,W,Certain
Well,Agree,Often,Neutral,75up,South,Certain
Somewhat,Agree,NAorNever,Disagree,25to34,MW,Probably
Well,Agree,Sometimes,Neutral,70to74,South,Probably
Not,Neither,Sometimes,Neutral,25to34,South,ProbablyNot
Well,Agree,Always,Neutral,70to74,NE,CouldNot
Somewhat,Neither,Seldom,Neutral,62to69,W,Certain
Well,StronglyAgree,Always,Neutral,75up,South,Certain
Somewhat,Neither,Always,Disagree,62to69,South,Certain
Completely,Agree,Always,Agree,62to69,NE,Certain
Somewhat,Neither,Sometimes,Agree,25to34,South,Probably
Well,Agree,Always,Disagree,62to69,South,Certain
Somewhat,Agree,Always,Agree,18to24,NE,Certain
Well,StronglyAgree,Always,Neutral,70to74,NE,Probably
Somewhat,Agree,Always,Agree,55to61,NE,Certain
Somewhat,Agree,NAorNever,Agree,18to24,South,ProbablyNot
Completely,StronglyAgree,NAorNever,Neutral,45to54,W,ProbablyNot
Somewhat,Neither,Often,Neutral,35to44,MW,Certain
Somewhat,Agree,Often,Neutral,35to44,MW,Certain
Well,Agree,Always,Disagree,35to44,South,Certain
Somewhat,Agree,NAorNever,Agree,45to54,W,CouldNot
Completely,StronglyAgree,Always,NoWay,45to54,MW,Certain
Completely,Agree,NAorNever,Neutral,45to54,NE,Probably
Somewhat,Neither,Sometimes,NA,25to34,W,NA
Somewhat,Neither,Seldom,Neutral,35to44,South,Certain
Well,Agree,Sometimes,Neutral,70to74,NE,Certain
Somewhat,Agree,Seldom,Neutral,45to54,NE,Probably
Completely,Agree,Often,Agree,55to61,South,Certain
Somewhat,Neither,NAorNever,Neutral,55to61,W,DontKnow
Not,Neither,NAorNever,Neutral,70to74,W,Probably
Well,Agree,Often,Neutral,62to69,NE,Certain
Not,StronglyAgree,Sometimes,Absolutely,18to24,W,Certain
Well,Agree,Always,Neutral,70to74,MW,Certain
Well,StronglyAgree,Seldom,Agree,25to34,W,Certain
Completely,Agree,NAorNever,Disagree,25to34,W,Certain
Well,Neither,Sometimes,Agree,45to54,South,Certain
Little,Agree,Sometimes,Agree,18to24,NE,CouldNot
Somewhat,Agree,Sometimes,Neutral,55to61,MW,Certain
Somewhat,Neither,Always,Disagree,70to74,W,Certain
Little,Neither,Seldom,Disagree,62to69,South,ProbablyNot
Well,StronglyDisagree,NAorNever,Agree,35to44,W,ProbablyNot
Well,StronglyAgree,Seldom,NA,18to24,South,ProbablyNot
Somewhat,Neither,NAorNever,Neutral,18to24,W,CouldNot
Somewhat,Agree,Always,Disagree,35to44,South,Probably
Somewhat,Agree,Seldom,Neutral,18to24,W,Probably
Completely,Neither,Always,Agree,45to54,NE,Certain
Somewhat,Agree,Always,Agree,45to54,South,Certain
Somewhat,Agree,NAorNever,Agree,25to34,W,ProbablyNot
Somewhat,Agree,NAorNever,Agree,45to54,MW,Probably
Well,Agree,Often,Agree,62to69,South,Certain
Well,Agree,Always,Neutral,70to74,W,Certain
Well,Agree,Always,Agree,70to74,MW,Certain
Somewhat,Neither,NAorNever,Neutral,45to54,MW,Probably
Completely,Disagree,Always,Disagree,55to61,MW,Certain
Well,Agree,Always,Disagree,70to74,South,Certain
Somewhat,Agree,Always,Neutral,35to44,W,Certain
Well,Neither,NAorNever,Neutral,45to54,South,DontKnow
Well,Agree,Sometimes,NoWay,45to54,NE,Probably
Somewhat,Disagree,Sometimes,NoWay,55to61,South,Probably
Completely,StronglyAgree,Always,Neutral,25to34,MW,Probably
Well,Agree,NAorNever,Agree,55to61,MW,CouldNot
Completely,Agree,Always,NA,55to61,MW,NA
Completely,Agree,Often,Neutral,55to61,MW,Certain
Well,Neither,Always,Neutral,62to69,South,Certain
Well,Agree,Sometimes,Neutral,62to69,NE,Certain
Somewhat,Neither,Often,Neutral,75up,W,Certain
Somewhat,Agree,Sometimes,Neutral,45to54,South,ProbablyNot
Completely,StronglyAgree,Seldom,Agree,35to44,South,Probably
Somewhat,Neither,Often,Agree,18to24,South,Certain
Little,Agree,Always,Disagree,45to54,South,Probably
Somewhat,Agree,Sometimes,Neutral,70to74,South,CouldNot
Completely,Agree,Always,Neutral,45to54,South,Certain
Little,Disagree,Sometimes,Disagree,70to74,South,Probably
Little,Neither,Seldom,Disagree,75up,South,Probably
Somewhat,Agree,NAorNever,Neutral,55to61,NE,CouldNot
Well,Agree,Often,Agree,25to34,South,Probably
Well,Agree,Often,Agree,18to24,South,Certain
Well,Disagree,Always,Neutral,70to74,South,Probably
Well,StronglyAgree,Sometimes,Neutral,62to69,South,ProbablyNot
Well,Disagree,NAorNever,Agree,25to34,MW,ProbablyNot
Completely,StronglyAgree,Always,Agree,75up,South,Certain
Completely,StronglyAgree,Always,Neutral,45to54,South,Certain
Somewhat,Agree,Always,NoWay,62to69,MW,Certain
Somewhat,Agree,Sometimes,Neutral,18to24,MW,Probably
Completely,StronglyAgree,Always,NoWay,45to54,South,Certain
Not,Neither,NAorNever,Agree,55to61,W,CouldNot
Somewhat,Agree,NAorNever,Neutral,45to54,W,Certain
Completely,StronglyAgree,Often,Neutral,45to54,South,Certain
Little,Neither,NAorNever,Neutral,35to44,South,Certain
Somewhat,Neither,Sometimes,Neutral,75up,NE,CouldNot
Somewhat,Agree,Always,Neutral,70to74,W,Certain
Completely,Agree,Always,Neutral,75up,W,Certain
Well,Agree,Always,Neutral,75up,NE,Certain
Well,Agree,Sometimes,Disagree,62to69,MW,Probably
Not,Agree,Always,Agree,62to69,South,Certain
Completely,StronglyAgree,Often,Disagree,55to61,NE,Certain
Completely,StronglyAgree,Always,NoWay,75up,South,Certain
Completely,StronglyAgree,Often,Agree,62to69,South,Certain
Well,Agree,Often,Disagree,62to69,South,Certain
Well,Agree,Always,Disagree,75up,MW,Certain
Well,Neither,Always,Neutral,45to54,South,Certain
Completely,Neither,NAorNever,Agree,25to34,South,ProbablyNot
Somewhat,Neither,Seldom,Neutral,25to34,NE,CouldNot
Well,Agree,Seldom,Absolutely,35to44,W,Certain
Well,Agree,Always,Disagree,55to61,MW,Certain
Little,Disagree,Often,Disagree,55to61,NE,Certain
Completely,Agree,Always,Neutral,45to54,South,Certain
Somewhat,Agree,Always,Agree,70to74,NE,Probably
Well,Agree,Always,NoWay,55to61,W,Certain
Somewhat,Agree,Always,Agree,25to34,W,Certain
Well,Agree,Sometimes,Neutral,25to34,South,Certain
Somewhat,Disagree,Always,Disagree,75up,NE,Certain
